Key,City,Region,Longitude,Latitude
Afghanistan/'Alaqahdari Dishu,'Alaqahdari Dishu,Asia,63.298019,30.43206
Afghanistan/Aibak,Aibak,Asia,68.015511,36.264679
Afghanistan/Anar Darah,Anar Darah,Asia,61.653969,32.758701
Afghanistan/Andkhoy,Andkhoy,Asia,65.123756,36.95293
Afghanistan/Arghestan,Arghestan,Asia,66.489258,31.559811
Afghanistan/Art Khwajah,Art Khwajah,Asia,69.479584,37.085709
Afghanistan/Asadabad,Asadabad,Asia,71.146973,34.873112
Afghanistan/Ashkasham,Ashkasham,Asia,71.533333,36.683331
Afghanistan/Asmar,Asmar,Asia,71.358093,35.033329
Afghanistan/Baghlan,Baghlan,Asia,68.70829,36.13068
Afghanistan/Balkh,Balkh,Asia,66.897202,36.756351
Afghanistan/Bamyan,Bamyan,Asia,67.827339,34.82156
Afghanistan/Baraki Barak,Baraki Barak,Asia,68.949203,33.967442
Afghanistan/Basawul,Basawul,Asia,70.872177,34.24749
Afghanistan/Bazarak,Bazarak,Asia,69.51519,35.31292
Afghanistan/Chaghcharan,Chaghcharan,Asia,65.250938,34.51952
Afghanistan/Chahar Burj,Chahar Burj,Asia,62.19165,34.244751
Afghanistan/Charikar,Charikar,Asia,69.26667,34.950001
Afghanistan/Chiras,Chiras,Asia,65.982338,35.41674
Afghanistan/Cool Urhajó,Cool Urhajó,Asia,67.345161,34.26545
Afghanistan/Dadshan,Dadshan,Asia,62.43626,34.242031
Afghanistan/Darwazkay,Darwazkay,Asia,71.047577,35.024521
Afghanistan/Darzab,Darzab,Asia,65.378281,35.97744
Afghanistan/Dasht-e Archi,Dasht-e Archi,Asia,69.166672,37.133331
Afghanistan/Deri Mila,Deri Mila,Asia,70.060669,33.69471
Afghanistan/Farah,Farah,Asia,62.099998,32.400002
Afghanistan/Farkhar,Farkhar,Asia,69.857826,36.57288
Afghanistan/Fayzabad,Fayzabad,Asia,70.580017,37.116638
Afghanistan/Gardez,Gardez,Asia,69.225922,33.597439
Afghanistan/Ghazni,Ghazni,Asia,68.416664,33.533333
Afghanistan/Ghormach,Ghormach,Asia,63.782639,35.730621
Afghanistan/Herat,Herat,Asia,62.233334,34.216667
Afghanistan/Hukumati Azrah,Hukumati Azrah,Asia,69.645729,34.17355
Afghanistan/Hukumati Dahanah-ye Ghori,Hukumati Dahanah-ye Ghori,Asia,68.488693,35.90617
Afghanistan/Imam Sahib,Imam Sahib,Asia,68.93644,37.188969
Afghanistan/Jabal Saraj,Jabal Saraj,Asia,69.237778,35.118328
Afghanistan/Jalalabad,Jalalabad,Asia,70.5,34.400002
Afghanistan/Jurm,Jurm,Asia,70.834213,36.864769
Afghanistan/Kabul,Kabul,Asia,69.216667,34.549999
Afghanistan/Kafir Qala,Kafir Qala,Asia,61.066669,34.666672
Afghanistan/Kandahar,Kandahar,Asia,65.849998,31.5
Afghanistan/Karukh,Karukh,Asia,62.5863,34.481079
Afghanistan/Khanabad,Khanabad,Asia,69.115562,36.682499
Afghanistan/Khandud,Khandud,Asia,72.318001,36.951271
Afghanistan/Kharbuti,Kharbuti,Asia,66.58268,31.111
Afghanistan/Khash,Khash,Asia,62.79055,31.52919
