Key,City
Afghanistan/'Alaqahdari Dishu,'Alaqahdari Dishu
Afghanistan/Aibak,Aibak
Afghanistan/Anar Darah,Anar Darah
Afghanistan/Andkhoy,Andkhoy
Afghanistan/Arghestan,Arghestan
Afghanistan/Art Khwajah,Art Khwajah
Afghanistan/Asadabad,Asadabad
Afghanistan/Ashkasham,Ashkasham
Afghanistan/Asmar,Asmar
Afghanistan/Baghlan,Baghlan
Afghanistan/Balkh,Balkh
Afghanistan/Bamyan,Bamyan
Afghanistan/Baraki Barak,Baraki Barak
Afghanistan/Basawul,Basawul
Afghanistan/Bazarak,Bazarak
Afghanistan/Chaghcharan,Chaghcharan
Afghanistan/Chahar Burj,Chahar Burj
Afghanistan/Charikar,Charikar
Afghanistan/Chiras,Chiras
Afghanistan/Cool Urhajó,Cool Urhajó
Afghanistan/Dadshan,Dadshan
Afghanistan/Darwazkay,Darwazkay
Afghanistan/Darzab,Darzab
Afghanistan/Dasht-e Archi,Dasht-e Archi
Afghanistan/Deri Mila,Deri Mila
Afghanistan/Farah,Farah
Afghanistan/Farkhar,Farkhar
Afghanistan/Fayzabad,Fayzabad
Afghanistan/Gardez,Gardez
Afghanistan/Ghazni,Ghazni
Afghanistan/Ghormach,Ghormach
Afghanistan/Herat,Herat
Afghanistan/Hukumati Azrah,Hukumati Azrah
Afghanistan/Hukumati Dahanah-ye Ghori,Hukumati Dahanah-ye Ghori
Afghanistan/Imam Sahib,Imam Sahib
Afghanistan/Jabal Saraj,Jabal Saraj
Afghanistan/Jalalabad,Jalalabad
Afghanistan/Jurm,Jurm
Afghanistan/Kabul,Kabul
Afghanistan/Kafir Qala,Kafir Qala
Afghanistan/Kandahar,Kandahar
Afghanistan/Karukh,Karukh
Afghanistan/Khanabad,Khanabad
Afghanistan/Khandud,Khandud
Afghanistan/Kharbuti,Kharbuti
Afghanistan/Khash,Khash
Afghanistan/Khost,Khost
Afghanistan/Khulm,Khulm
Afghanistan/Kondoz,Kondoz
Afghanistan/Kuhsan,Kuhsan
Afghanistan/Kushk,Kushk
Afghanistan/Lab-Sar,Lab-Sar
Afghanistan/Larkird,Larkird
Afghanistan/Lashkar Gah,Lashkar Gah
Afghanistan/Markaz-e Hukumat-e Darweshan,Markaz-e Hukumat-e Darweshan
Afghanistan/Markaz-e Woluswali-ye Achin,Markaz-e Woluswali-ye Achin
Afghanistan/Maydanshakhr,Maydanshakhr
Afghanistan/Maymana,Maymana
Afghanistan/Mazar-E-Sharif,Mazar-E-Sharif
Afghanistan/Mehtar Lam,Mehtar Lam
Afghanistan/Mir Bachah Kot,Mir Bachah Kot
Afghanistan/Mirabad,Mirabad
Afghanistan/Mulkanah,Mulkanah
Afghanistan/Munai,Munai
Afghanistan/Nahrin,Nahrin
Afghanistan/Paghman,Paghman
Afghanistan/Panjab,Panjab
Afghanistan/Parun,Parun
Afghanistan/Pul-e 'Alam,Pul-e 'Alam
Afghanistan/Pul-e Khumri,Pul-e Khumri
Afghanistan/Qal'ah-ye Shahr,Qal'ah-ye Shahr
Afghanistan/Qala i Naw,Qala i Naw
Afghanistan/Qalat,Qalat
Afghanistan/Qarah Bagh,Qarah Bagh
Afghanistan/Qarawul,Qarawul
Afghanistan/Qarchi Gak,Qarchi Gak
Afghanistan/Qarqin,Qarqin
Afghanistan/Rudbar,Rudbar
Afghanistan/Rustaq,Rustaq
Afghanistan/Sang-e Charak,Sang-e Charak
Afghanistan/Sangin,Sangin
Afghanistan/Sar-e Pul,Sar-e Pul
Afghanistan/Shahrak,Shahrak
Afghanistan/Sharan,Sharan
Afghanistan/Shibirghan,Shibirghan
Afghanistan/Shindand,Shindand
Afghanistan/Sidqabad,Sidqabad
Afghanistan/Tagab,Tagab
Afghanistan/Tagaw-Bay,Tagaw-Bay
Afghanistan/Tareen,Tareen
Afghanistan/Tir Pul,Tir Pul
Afghanistan/Tukzar,Tukzar
Afghanistan/Uruzgan,Uruzgan
Afghanistan/Yangi Qal'ah,Yangi Qal'ah
Afghanistan/Zarah Sharan,Zarah Sharan
Afghanistan/Zaranj,Zaranj
Afghanistan/Zarghun Shahr,Zarghun Shahr
Afghanistan/Zindah Jan,Zindah Jan
Albania/Durres,Durres
Algeria/'Ain El Turk,'Ain El Turk
Algeria/'Aïn Abid,'Aïn Abid
Algeria/'Aïn Benian,'Aïn Benian
Algeria/'Aïn Boucif,'Aïn Boucif
Algeria/'Aïn Deheb,'Aïn Deheb
Algeria/'Aïn Merane,'Aïn Merane
Algeria/'Aïn Temouchent,'Aïn Temouchent
Algeria/'Aïn el Bell,'Aïn el Bell
Algeria/'Aïn el Berd,'Aïn el Berd
Algeria/'Aïn el Hadjar,'Aïn el Hadjar
Algeria/'Aïn el Hammam,'Aïn el Hammam
Algeria/'Aïn el Melh,'Aïn el Melh
Algeria/Ababsa,Ababsa
Algeria/Abou el Hassan,Abou el Hassan
Algeria/Adrar,Adrar
Algeria/Aflou,Aflou
Algeria/Ain Oussera,Ain Oussera
Algeria/Ain el Hadjel,Ain el Hadjel
Algeria/Akbou,Akbou
Algeria/Algiers,Algiers
Algeria/Amizour,Amizour
Algeria/Ammi Moussa,Ammi Moussa
Algeria/Annaba,Annaba
Algeria/Aoulef,Aoulef
Algeria/Arbatache,Arbatache
Algeria/Arhribs,Arhribs
Algeria/Arris,Arris
Algeria/Azazga,Azazga
Algeria/Azzaba,Azzaba
Algeria/Aïn Arnat,Aïn Arnat
Algeria/Aïn Bessem,Aïn Bessem
Algeria/Aïn Beïda,Aïn Beïda
Algeria/Aïn Defla,Aïn Defla
Algeria/Aïn Fakroun,Aïn Fakroun
Algeria/Aïn Kercha,Aïn Kercha
Algeria/Aïn Sefra,Aïn Sefra
Algeria/Aïn Sidi Harrat,Aïn Sidi Harrat
Algeria/Aïn Smara,Aïn Smara
Algeria/Aïn Taya,Aïn Taya
Algeria/Aïn Touta,Aïn Touta
Algeria/Aïn el Bya,Aïn el Bya
Algeria/Babor-Ville,Babor-Ville
Algeria/Baraki,Baraki
Algeria/Barbacha,Barbacha
Algeria/Barika,Barika
Algeria/Batna,Batna
Algeria/Bechar,Bechar
Algeria/Ben Mehidi,Ben Mehidi
Algeria/Beni Amrane,Beni Amrane
Algeria/Beni Douala,Beni Douala
Algeria/Beni Mered,Beni Mered
Algeria/Beni Mester,Beni Mester
Algeria/Beni Saf,Beni Saf
Algeria/Bensekrane,Bensekrane
Algeria/Berrahal,Berrahal
Algeria/Berriane,Berriane
Algeria/Berrouaghia,Berrouaghia
Algeria/Besbes,Besbes
Algeria/Bir el Ater,Bir el Ater
Algeria/Bir el Djir,Bir el Djir
Algeria/Birine,Birine
Algeria/Birkhadem,Birkhadem
Algeria/Biskra,Biskra
Algeria/Blida,Blida
Algeria/Boghni,Boghni
Algeria/Bordj Ghdir,Bordj Ghdir
Algeria/Bordj Zemoura,Bordj Zemoura
Algeria/Bordj el Kiffan,Bordj el Kiffan
Algeria/Bou Adjem,Bou Adjem
Algeria/Bou Hanifia el Hamamat,Bou Hanifia el Hamamat
Algeria/Bou Ismaïl,Bou Ismaïl
Algeria/Bou Tlelis,Bou Tlelis
Algeria/Boudjima,Boudjima
Algeria/Boudouaou,Boudouaou
Algeria/Boufarik,Boufarik
Algeria/Bougaa,Bougaa
Algeria/Bougara,Bougara
Algeria/Bouinan,Bouinan
Algeria/Boukadir,Boukadir
Algeria/Boumahra Ahmed,Boumahra Ahmed
Algeria/Boumerdas,Boumerdas
Algeria/Bouïra,Bouïra
Algeria/Boû Arfa,Boû Arfa
Algeria/Brezina,Brezina
Algeria/Chabet el Ameur,Chabet el Ameur
Algeria/Charef,Charef
Algeria/Cheaïbia,Cheaïbia
Algeria/Chebli,Chebli
Algeria/Chelghoum el Aïd,Chelghoum el Aïd
Algeria/Chemini,Chemini
Algeria/Cheraga,Cheraga
Algeria/Cheria,Cheria
Algeria/Chetouane,Chetouane
Algeria/Chiffa,Chiffa
Algeria/Chlef,Chlef
Algeria/Chorfa,Chorfa
Algeria/Constantine,Constantine
Algeria/Dar Chioukh,Dar Chioukh
Algeria/Dar el Beïda,Dar el Beïda
Algeria/Debila,Debila
Algeria/Dellys,Dellys
Algeria/Didouche Mourad,Didouche Mourad
Algeria/Djamaa,Djamaa
Algeria/Djanet,Djanet
Algeria/Djebilet Rosfa,Djebilet Rosfa
Algeria/Djidiouia,Djidiouia
Algeria/Douera,Douera
Algeria/Draa Ben Khedda,Draa Ben Khedda
Algeria/Draa el Mizan,Draa el Mizan
Algeria/Drean,Drean
Algeria/Ech Chettia,Ech Chettia
Algeria/El Abadia,El Abadia
Algeria/El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh
Algeria/El Achir,El Achir
Algeria/El Affroun,El Affroun
Algeria/El Amria,El Amria
Algeria/El Aouinet,El Aouinet
Algeria/El Attaf,El Attaf
Algeria/El Bayadh,El Bayadh
Algeria/El Eulma,El Eulma
Algeria/El Golea,El Golea
Algeria/El Hadjar,El Hadjar
Algeria/El Hadjira,El Hadjira
Algeria/El Idrissia,El Idrissia
Algeria/El Kala,El Kala
Algeria/El Kerma,El Kerma
Algeria/El Kseur,El Kseur
Algeria/El Malah,El Malah
Algeria/El Oued,El Oued
Algeria/El Tarf,El Tarf
Algeria/Es Senia,Es Senia
Algeria/Feraoun,Feraoun
Algeria/Freha,Freha
Algeria/Frenda,Frenda
Algeria/Ghardaia,Ghardaia
Algeria/Hadjout,Hadjout
Algeria/Hamaguir,Hamaguir
Algeria/Hamma Bouziane,Hamma Bouziane
Algeria/Hammam Bou Hadjar,Hammam Bou Hadjar
Algeria/Hammamet,Hammamet
Algeria/Hassi Messaoud,Hassi Messaoud
Algeria/Hennaya,Hennaya
Algeria/Héliopolis,Héliopolis
Algeria/I-n-Amguel,I-n-Amguel
Algeria/I-n-Eker,I-n-Eker
Algeria/I-n-Salah,I-n-Salah
Algeria/Ighram,Ighram
Algeria/Illizi,Illizi
Algeria/Isser,Isser
Algeria/Jijel,Jijel
Algeria/Kerkera,Kerkera
Algeria/Khemis el Khechna,Khemis el Khechna
Algeria/Khenchela,Khenchela
Algeria/Kolea,Kolea
Algeria/Ksar Chellala,Ksar Chellala
Algeria/Ksar el Boukhari,Ksar el Boukhari
Algeria/L'Arbaa Naït Irathen,L'Arbaa Naït Irathen
Algeria/Laghouat,Laghouat
Algeria/Lakhdaria,Lakhdaria
Algeria/Larbaâ,Larbaâ
Algeria/M'Sila,M'Sila
Algeria/Makouda,Makouda
Algeria/Mansourah,Mansourah
Algeria/Mansoûra,Mansoûra
Algeria/Mascara,Mascara
Algeria/Mazouna,Mazouna
Algeria/Meftah,Meftah
Algeria/Megarine,Megarine
Algeria/Mehdia,Mehdia
Algeria/Mekla,Mekla
Algeria/Melouza,Melouza
Algeria/Meridja Tahtania,Meridja Tahtania
Algeria/Merouana,Merouana
Algeria/Mers el Kebir,Mers el Kebir
Algeria/Meskiana,Meskiana
Algeria/Messaad,Messaad
Algeria/Metlili Chaamba,Metlili Chaamba
Algeria/Mila,Mila
Algeria/Mouzaïa,Mouzaïa
Algeria/Médéa,Médéa
Algeria/Naama,Naama
Algeria/Naciria,Naciria
Algeria/Nedroma,Nedroma
Algeria/Oran,Oran
Algeria/Ouallene,Ouallene
Algeria/Ouargla,Ouargla
